deal_no,id,title,customer_name,customer_name_english,market_segment,product_model,manufacturer,stage,value,probability,expected_close_date,owner,province,region,health_district,customer_segment,next_followup_on,admin_quote_no,on_ebidding,declared_in_hand,below_stage_prob_note,lost_reason,lost_reason_note
ARN-016,,"รพ.พนัสนิคม - FBC, IDA1s",รพ.พนัสนิคม,,Medium Hospital,"FBC, IDA1s",Fluke Biomedical,accept_value,190000,40,31/05/1426,AROONSAWAT,,East,,New Customer,,TM-250700138,FALSE,FALSE,กำลังทำเรื่องไปเรื่อยๆ กลางกุมภาค่อยโทรไปใหม่ เค้าต้องทำทีละเรื่องละได้เครื่องมาก่อนจะทำรายการใหม่ // เค้ายังไม่ได้ทำเรื่องเครื่องเราแต่ให้เราส่งใบเสนอราคาให้ใหม่อีกรอบ ก็ต้องรอตามคิวเค้าเรื่อยๆ,,
ARN-017,,"รพ.พนัสนิคม - FBC, ESA712",รพ.พนัสนิคม,,Medium Hospital,"FBC, ESA712",Fluke Biomedical,lost,250000,20,,AROONSAWAT,,East,,New Customer,,TM-250700139,FALSE,FALSE,,no_budget,
ARN-018,,"รพ.เอกชล - FBC, IDA1s",รพ.เอกชล,,Medium Hospital,"FBC, IDA1s",Fluke Biomedical,lost,210000,30,,AROONSAWAT,,East,,New Customer,,TM-250700149,FALSE,FALSE,ไม่ได้งบ แต่จะของบใหม่ตอนปลายปี69,no_budget,
ARN-019,,รพ.เอกชล - MF5708,รพ.เอกชล,,Medium Hospital,MF5708,Fluke Biomedical,lost,90000,30,,AROONSAWAT,,East,,New Customer,,TM-250800012,FALSE,FALSE,ไม่ได้งบ,no_budget,
ARN-020,,"รพ.แกลง - FBC, IDA1s",รพ.แกลง,,Medium Hospital,"FBC, IDA1s",Fluke Biomedical,lost,210000,30,,AROONSAWAT,,East,,Existing Customer,,TM-250800092,FALSE,FALSE,ไม่่ได้งบ,no_budget,
ARN-021,,"รพ.แกลง - FBC, ESA712",รพ.แกลง,,Medium Hospital,"FBC, ESA712",Fluke Biomedical,lost,200000,30,,AROONSAWAT,,East,,Existing Customer,,TM-250800093,FALSE,FALSE,,no_budget,
ARN-022,,"รพ.บ้านฉาง - FBC, ESA712",รพ.บ้านฉาง,,Medium Hospital,"FBC, ESA712",Fluke Biomedical,lost,200000,30,,AROONSAWAT,,East,,New Customer,,TM-250800096,FALSE,FALSE,,no_budget,
ARN-023,,"รพ.เฉลิมพระเกียรติ ระยอง - FBC, ProSim8",รพ.เฉลิมพระเกียรติ ระยอง,,Medium Hospital,"FBC, ProSim8",Fluke Biomedical,lost,495000,30,,AROONSAWAT,,East,,New Customer,,TM-250800102,FALSE,FALSE,เข้างบปี 70,no_budget,
ARN-024,,"รพ.เฉลิมพระเกียรติ ระยอง - FBC, SPOTLight",รพ.เฉลิมพระเกียรติ ระยอง,,Medium Hospital,"FBC, SPOTLight",Fluke Biomedical,lost,215000,30,,AROONSAWAT,,East,,New Customer,,TM-250800104,FALSE,FALSE,,no_budget,
ARN-025,,"บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก) - FBC, ProSim8 + SPOT Module",บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก),,Private ISO,"FBC, ProSim8 + SPOT Module",Fluke Biomedical,quote,770000,30,31/05/1426,AROONSAWAT,,East,,Existing Customer,,TM-250800186,FALSE,FALSE,,,
ARN-026,,"บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก) - FBC, ESA609",บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก),,Private ISO,"FBC, ESA609",Fluke Biomedical,quote,110000,30,31/05/1426,AROONSAWAT,,East,,Existing Customer,,TM-250800185,FALSE,FALSE,,,
ARN-027,,"บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก) - FBC, IMP7K",บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จำกัด (ทีมตะวันออก),,Private ISO,"FBC, IMP7K",Fluke Biomedical,quote,333000,30,31/05/1426,AROONSAWAT,,East,,Existing Customer,,TM-250800206,FALSE,FALSE,,,
ARN-028,,"รพ.พระปกเกล้า - FBC, IMP7010",รพ.พระปกเกล้า,,Medium Hospital,"FBC, IMP7010",Fluke Biomedical,quote,230000,30,,AROONSAWAT,,East,,Existing Customer,,TM-251000093,FALSE,FALSE,ยังไม่มีแพลนทำ Defib ใน รพ เลยยังไม่ได้ทำเรื่องหรือทำไรต่อ,,
ARN-029,,"รพ.บ้านบึง - FBC, ESA712",รพ.บ้านบึง,,Medium Hospital,"FBC, ESA712",Fluke Biomedical,lost,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,ปีนี้ยังไม่มีแพลน,no_budget,
ARN-030,,"รพ.แหลมฉบัง - FBC, ESA712",รพ.แหลมฉบัง,,Medium Hospital,"FBC, ESA712",Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,N-healthดูแล ไม่มีศูนย์เครื่องมือแพทย์ คุยคร่าวๆสนใจESA Prosim เขาถามว่าสามารถเช็คได้มั้ยว่า leadไหนเสีย,,
ARN-031,,"รพ.แหลมฉบัง - FBC, ProSim4 + SPOTLIGHT",รพ.แหลมฉบัง,,Medium Hospital,"FBC, ProSim4 + SPOTLIGHT",Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,N-healthดูแล ไม่มีศูนย์เครื่องมือแพทย์ คุยคร่าวๆสนใจESA Prosim เขาถามว่าสามารถเช็คได้มั้ยว่า leadไหนเสีย,,
ARN-032,,รพ.พัทยาปัทมคุณ,รพ.พัทยาปัทมคุณ,,Large Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,เขาบอกถ้าสนใจะติดต่อกลับ,,
ARN-033,,"รพ.มะขาม - RaySafe, Pro-Digi",รพ.มะขาม,,Small Hospital,"RaySafe, Pro-Digi",RaySafe,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,สนใจ X-ray  อยากทดสอบ beam alignment ส่งสเปคเครื่องให้แล้ว // ไม่น่ามีโอสกาสซื้อ รพ.เล็ก รพ.ชุมชน 30 เตียง,,
ARN-034,,"รพ.มะขาม - RaySafe, DXR+",รพ.มะขาม,,Small Hospital,"RaySafe, DXR+",RaySafe,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,สนใจ X-ray  อยากทดสอบ beam alignment ส่งสเปคเครื่องให้แล้ว // ไม่น่ามีโอสกาสซื้อ รพ.เล็ก รพ.ชุมชน 30 เตียง,,
ARN-035,,รพ.พนมสารคาม,รพ.พนมสารคาม,,Medium Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,กำลังเริ่มทำศูนย์เครื่องมือแพทย์ ไม่เจอหัวหน้าที่ดูแลเครื่องมือแพทย์ เจอแต่คุณอิ๋วรองหัวหน้า เป็นพยาบาลอยู่ห้องคลอดทั้งคู่ คุณหน่องติดประชุม คุณอิ๋วบอกเดี๋ยวส่งเรื่องต่อให้,,
ARN-036,,รพ.บางน้ำเปรี้ยว,รพ.บางน้ำเปรี้ยว,,Medium Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เป็นพยาบาลอยู่ ICU ดูแลเครื่องมือแพทย์ ไม่มีแพลนจะทำเอง ไม่ซ่อมเองด้วย ส่งซ่อมอย่างเดียว,,
ARN-037,,รพ.กรุงเทพปลวกแดง,รพ.กรุงเทพปลวกแดง,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,(N-health) แนะนำไปเสนอรพ.กรุงเทพระยองเพราะมีเรื่อทดสอบเยอะ และเครื่องกำลังจะหมด Due  กำลังหาเปรียบเทียบราคา และ 3 ไซด์(กรุงเทพปลวกแดง กรุงเทพระยอง ศรีระยอง) ใช้เครื่องด้วยกัน ยืมกันใช้,,
ARN-038,,รพ.กรุุงเทพระยอง,รพ.กรุุงเทพระยอง,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,ยังไม่มีแพลนซื้อเหมือนกันเพเราะพึ่งซื้อของฝั่งศรีระยอไป พี่สมายด์แนะนำให้ไปเสนอกรุงเทพพัทยาเนื่องจากเป็นศูนย์กลางของ N-health ตะวันออก,,
ARN-039,,รพ.จุฬารัตน์ระยอง,รพ.จุฬารัตน์ระยอง,,Small Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,คุณนพ(หัวห้าห้องผ่าตัด) ดูแลเครื่องมือแพทย์เฉพาะของห้องผ่าตัด คุณจิ๊บหัวหน้าห้อง ICU เป็นคนดูแลเครื่องมือแพทย์แต่ติดอบรมไม่อยู่ คุณนพบอกว่าต้องไปเสนอที่รพ.จุฬารัตน์3 เพราะที่นี่เป็นสาขาย่อย จะมีทีมมาดูแลเครื่องมือแพทย์จากจุฬารัตน์3อีกทีนึง ไม่ซ่อมเองไม่ทำเอง,,
ARN-040,,รพ.ระยอง,รพ.ระยอง,,Large Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,ยัังไม่มีแพลนซื้อ เพราะมีเครื่องอยู่แล้ว (เลยพูดแนะนำ ESA712/715 เนื่องจากพี่มาตาบอกว่าเขามี ESA609 เมื่อนานมากๆแล้ว),,
ARN-041,,รพ.ศรีระยอง,รพ.ศรีระยอง,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,พึ่งซื้อไป เลยยังไม่มีแพลนจัดซื้อเครื่องใหม่,,
ARN-042,,รพ.เจ้าพระยาอภัยภูเบศร,รพ.เจ้าพระยาอภัยภูเบศร,,Medium Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,ไม่สนใจ ไม่มีแพลนจะซื้อเพิ่ม,,
ARN-043,,รพ.เกษมราษฎร์ ปราจีนบุรี,รพ.เกษมราษฎร์ ปราจีนบุรี,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เป็็นจัดซื้อ ไม่สอบเทียบเองไม่ซ่อมเอง สำนักงานใหญ่เข้ามาทำ บอกว่าเดี๋ยวไปถามช่างก่อน เผื่อจะขอใบเสนอราคา,,
ARN-044,,รพ.กบินทร์บุรี,รพ.กบินทร์บุรี,,Medium Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เดี๋ยวดูๆเครื่องก่อน ถ้าสนใจจะติดต่อขอใบเสนอราคา,,
ARN-045,,รพ.จุุฬารัตน์ 304 อินเตอร์,รพ.จุุฬารัตน์ 304 อินเตอร์,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เขาติดประชุม เขาบอกต้องทำหนังสือมาว่าจะติดต่อทำอะไรบ้าง เลยฝากแคตาลอคไว้ที่ประชาสัมพันธ์ฝากให้ฝ่ายเครื่องมือแพทย์ ที่นี่ไม่มีห้องสำหรับเครื่องมือแพทย์โดยตรง แล้วเขาก็ไม่สะดวกให้คอนแทคไว้เลย ถ้ามาต้องติดต่อประชาสัมพันธ์ก่อนเหมือนเดิม,,
ARN-046,,รพ.วิภาราม อมตะนคร,รพ.วิภาราม อมตะนคร,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,จ้าง MI cal เลยแนะนำเซฟตี้ไปเพราะเห็นว่าก็มีซ่อมเครื่องเองด้วย ก็ดูตั้งใจฟัง แต่ยังไม่มีแพลนจะทำเอง,,
ARN-047,,รพ.เฉพาะทางมะเร็ง วิภารามอมตะนคร,รพ.เฉพาะทางมะเร็ง วิภารามอมตะนคร,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,ทีมดูแลเดียวกับ วิภาราม อมตะนคร,,
ARN-048,,รพ.สมิติเวช ชลบุรี,รพ.สมิติเวช ชลบุรี,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,มี ESA อยู่แล้ว มีแพลนจะซื้อเครื่องวัด Suction (วัดแรงดูด) เขาบอกเคยขอราคามานานแล้วแต่ของเราแพง แต่ก็ให้เราดูราคาให้เค้าใหม่อีกรอบ,,
ARN-049,,รพ.วิภาราม แหลมฉบัง,รพ.วิภาราม แหลมฉบัง,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เจ้าหน้าที่เครื่องมือแพทย์ ยังไม่มีแพลนทำเอง แต่เดี๋ยวไปเสนอหัวหน้าเขา(คุณเอ็ม พอดีเขาไปประชุมที่กรุงเทพ) (มีUni sim),,
ARN-050,,รพ.จอมเทียน,รพ.จอมเทียน,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,ไม่มีห้องเครื่องมือแพทย์เลย เวลาจะใช้เครื่องจะเขียนใบขอเบิกจาก รพ.กรุงเทพพัทยา (N-health),,
ARN-051,,รพ.เมืองพัทยา,รพ.เมืองพัทยา,,Medium Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,New Customer,,,FALSE,FALSE,เจ้าหน้าที่เครื่องมือแพทย์ จ้าง outsource อยู่แต่เขาจำไม่ได้ว่าของที่ไหน ยังไม่มีแพลนทำเอง แต่จะส่งเรื่องให้แอดมิน(คุณแป้ง)คนดูแลเครื่องมือแพทย์ให้,,
ARN-052,,รพ.กรุงเทพพัทยา,รพ.กรุงเทพพัทยา,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,ฝากแคตาลอคฝากนามบัตรให้แล้ว,,
ARN-053,,รพ.ชลบุรี,รพ.ชลบุรี,,Large Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,จ้างoutsouse แข่งกัน 3 เจ้า ไอทรีส Sodexo N-health เค้าไม่ได้สอบเทียบเครื่องมือแพทย์เองแล้ว เค้าเลยไม่ได้ส่งเครื่องมาสอบเทียบกับทางเรามาหลายปีแล้ว Prosim8 มีปัญหาที่Prosim SPOT ให้นำกลับมาเช็คและเสนอราคาสอบเทียบให้เลย พรีเมียร์จึงเสนอการสอบเทียบรายการอื่นว่าสนใจมั้ยคุณน๊อทบอกเดี๋ยวดูรายการเครื่องก่อน,,
ARN-054,,"รพ.พญาไท ศรีราชา1,2","รพ.พญาไท ศรีราชา1,2",,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,"คุณหมิว มี609 เนื่องจากงบไม่พอ เค้าเลยยังไม่อนุมัติซื้อเครื่องอื่นเพิ่ม เคยของบไปแล้ว แต่ รพ ไม่ให้จึงซื้อได้แต่เครื่องเล็กๆ  // รพ.พญาไทศรีราชา1,2 ใช้เครื่องด้วยกัน ทีมดูแลเดียวกัน",,
ARN-055,,รพ.สมิติเวช ศรีราชา,รพ.สมิติเวช ศรีราชา,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,คุณเต็ม คล้ายๆรพ.พญาไท ศรีราชา เนื่องจากทาง รพ ไม่ค่อยอนุมัติงบ จึงไม่แน่ใจเลยว่าถ้าขอซื้อเครื่องใดๆเพิ่ม ทาง รพ จะให้มั้ย,,
ARN-056,,"บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จํากัด - Fluke, 116",บริษัท เนชั่นแนล เฮลท์แคร์ ซิสเท็มส์ จํากัด,,Private ISO,"Fluke, 116",Fluke,won,25000,100,31/03/1426,AROONSAWAT,,East,,Existing Customer,,TM-250600139,FALSE,TRUE,ขายให้ รพ พญาไท บ่อวิน,,
ARN-057,,"มหาวิทยาลัยบูรพา - Fluke, 116",มหาวิทยาลัยบูรพา,,University Hospital,"Fluke, 116",Fluke,quote,25000,30,,AROONSAWAT,,East,,New Customer,,TM-251200039,FALSE,FALSE,ตั้งงบขอกับทาง รพ,,
ARN-058,,"รพ.สมเด็็จพระนางเจ้าสิริกิติ์ - FBC, IMP7K",รพ.สมเด็็จพระนางเจ้าสิริกิติ์,,Large Hospital,"FBC, IMP7K",Fluke Biomedical,quote,385000,30,,AROONSAWAT,,East,,Existing Customer,,TM-260200018,FALSE,FALSE,,,
ARN-059,,"รพ.สมเด็็จพระนางเจ้าสิริกิติ์ - FBC, SPOT Module",รพ.สมเด็็จพระนางเจ้าสิริกิติ์,,Large Hospital,"FBC, SPOT Module",Fluke Biomedical,quote,265000,30,,AROONSAWAT,,East,,Existing Customer,,TM-260200019,FALSE,FALSE,,,
ARN-060,,"รพ.สมเด็็จพระนางเจ้าสิริกิติ์ - FBC, IDA6-2ch",รพ.สมเด็็จพระนางเจ้าสิริกิติ์,,Large Hospital,"FBC, IDA6-2ch",Fluke Biomedical,quote,585000,30,,AROONSAWAT,,East,,Existing Customer,,TM-260200020,FALSE,FALSE,และขอราคาเฉพาะโมดูล 2โมดูล เพื่อตัดสินใจด้วย,,
ARN-061,,รพ.กรุงเทพจันทบุรี,รพ.กรุงเทพจันทบุรี,,Medium Private Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,ที่นี่มี 5 คน มี ESA612 ไม่มีแพลนจะซื้อเพิ่มเพราะมีส่วนกลางมาทำให้อยู่แล้ว ยืมเครื่องจากรพ.กรุงเทพพัทยาบ้างเป็นครั้งคราวไม่บ่อย,,
ARN-062,,รพ.พระปกเกล้า,รพ.พระปกเกล้า,,Large Hospital,,Fluke Biomedical,proposal,,20,,AROONSAWAT,,East,,Existing Customer,,,FALSE,FALSE,มีทีม 5 คน เครื่องมือใช้งานปกติไม่มีปัญหา และให้เราเพิ่ม Auto sequence ใน Prosim8 สำหรับเด็กให้ด้วย,,
ARN-063,,"รพ.สิริเวช - FBC, ProSim4",รพ.สิริเวช,,Medium Private Hospital,"FBC, ProSim4",Fluke Biomedical,quote,260000,30,,AROONSAWAT,,East,,New Customer,,TM-260300043,FALSE,FALSE,มี3คน(รวม  AMS) ที่นี่จ้าง AMSประจำ ขอราคาเครื่อง Prosim4 Spotlight ESA712 ESA715 และตุ้มน้ำหนัก(จะนำไปตั้งงบช่วงปลายปี),,
ARN-064,,"รพ.พนมสารคาม - FBC, ESA712",รพ.พนมสารคาม,,Re-seller,"FBC, ESA712",Fluke Biomedical,quote,153000,30,,AROONSAWAT,,East,,New Customer,,TM-260300063,FALSE,FALSE,บ.เก้าสยามเอาไปขายต่อ,,
ARN-065,,"รพ.พนมสารคาม - FBC, ProSim8 + SPOT Module",รพ.พนมสารคาม,,Re-seller,"FBC, ProSim8 + SPOT Module",Fluke Biomedical,quote,657000,30,,AROONSAWAT,,East,,New Customer,,TM-260300063,FALSE,FALSE,บ.เก้าสยามเอาไปขายต่อ,,
ARN-066,,"รพ.พนมสารคาม - FBC, IDA1s",รพ.พนมสารคาม,,Re-seller,"FBC, IDA1s",Fluke Biomedical,quote,162000,30,,AROONSAWAT,,East,,New Customer,,TM-260300063,FALSE,FALSE,บ.เก้าสยามเอาไปขายต่อ,,
ARN-067,,"รพ.พนมสารคาม - FBC, VT650",รพ.พนมสารคาม,,Re-seller,"FBC, VT650",Fluke Biomedical,quote,414000,30,,AROONSAWAT,,East,,New Customer,,TM-260300063,FALSE,FALSE,บ.เก้าสยามเอาไปขายต่อ,,
